Tier,Priority,Name / Brand,YouTube Channel,Approx Subscribers,Paid Products,LinkedIn URL,SEBI Status,Best Outreach Platform,Notes
T3 — SEBI arbitrage goldmine (pitch after ANY case study),11,Chintan Jaggi (AlgoTest),@AlgoTest (also runs algo courses),Mid-size,Algo trading courses + tool subscriptions (AlgoTest platform),LinkedIn active — B2B mindset,SEBI-compliant algorithmic trading tools. Not giving tips.,LinkedIn,B2B mindset. Understands platforms. Most willing to test new distribution tools.
T3,12,Upsurge.club founders,@Upsurge,Mid-size,Multiple algo/advanced trading courses on their platform,LinkedIn present,Platform-style business — already SEBI-aware,LinkedIn,One deal = access to 50+ trading educators on their platform. Multiplier target.
T3,13,Booming Bulls Finserv (team),see Anish above,—,SEBI-registered RA signals + Telegram research,see above,SEBI-REGISTERED — restricted from traditional paid ads,LinkedIn / direct,Post-launch of their RA entity they CANNOT run performance ads. Your platform = their only organic scale play.
T4 — Finance influencer adjacents,14,CA Sarthak Ahuja,—,Mid-size,Startup finance + fundraising advisory; LinkedIn-native creator,LinkedIn active,Not a trading educator — startup finance niche,LinkedIn,Startup founders follow him = different ICP but relevant for Reachr brand awareness.
T4,15,Akshat Shrivastava,@AkshatShrivastava,~3M+,Books + investing frameworks + community,Twitter / LinkedIn active,Active SEBI-commentary. Public about constraints on paid promotion.,Twitter + LinkedIn,His followers = your Tier 1 ICP. Comment on Twitter for visibility.
T4,16,Trade Brains,@TradeBrains,Mid-large,Trade Brains Portal (premium screeners) + paid fundamental analysis courses,LinkedIn — brand + founders,No SEBI enforcement. Screener model.,LinkedIn,Tool-based business — needs content marketing. UGC clips about 'how to use Trade Brains' = natural fit.
T5 — Pilot targets (START HERE — close your first campaign),17,Kunal Rathi (Options Tribe),—,Telegram/YouTube mid-size,Paid Telegram community (options trading alerts + education),—,Unregistered — subject to SEBI scrutiny,Telegram DM / YouTube,Paid Telegram = clip distribution drives more subscribers. Easy to show ROI.
T5,18,Trade With Trend,@TradeWithTrend,Mid-size F&O channel,Structured F&O courses + community,—,Positioned as educational; no SEBI order found,YouTube DM / Instagram,Active course sales. Affordable pilot budget. Will try new things.
T5,19,Harshit Dixit (Trade Metrics Hub),@TradeMetricsHub,Smaller but growing,Trading analytics + courses,https://www.linkedin.com/in/harshit1dixit,Featured on Elearnmarkets + Samco — credible positioning,LinkedIn,LOWEST FRICTION first conversation. Already on LinkedIn. Understands B2B. Start here.
T5,20,IITian Trader (Saurabh Maurya),@IITianTrader,~1.2M,Paid courses + Telegram memberships (IITian Trader brand),Not confirmed,Subject of investigation videos alleging SEBI IA/RA violations in paid Telegram. Highest regulatory risk.,YouTube — caution,HIGH MOTIVATION for non-paid organic distribution due to SEBI exposure. Approach carefully with compliance angle.
